Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
buyandfast,@NGamiotea,2020-03-24T16:59:38.000Z, SJCAM SJ8 Pro yi 4K 60fps action Camera Waterproof Anti-Shake Dual Touch Screen 8*Digital Zoom WiFi Remote Control Sports DV cam https://buyandfast.com/sjcam-sj8-pro-yi-4k-60fps-action-camera-waterproof-anti-shake-dual-touch-screen-8digital-zoom-wifi-remote-control-sports-dv-cam/… https://buyandfast.com Free Shipping,,,
Troy Fudge,@FudgeTroy,2020-03-24T10:50:32.000Z,"How to set up Zoom video for dual monitors and screen sharing with PowerPointHow to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,,
Visual Displays,@Visual_Displays,2020-03-24T10:45:08.000Z,"How to set up Zoom video for dual monitors and screen sharing with PowerPoint... 
http://ow.ly/wVLs50yTdDn #Zoom #Video #ScreenSharing #Communication",,1,1
Computer Knowlege,@COMnowledge,2020-03-24T10:33:02.000Z,How to set up Zoom video for dual monitors and screen sharing with PowerPoint http://dlvr.it/RSSHGR,,,
Nishant Pathak,@NishantBareilly,2020-03-24T07:52:23.000Z,"#RedmiK30Pro
Snapdragon 865 
UFS 3.1/3.0 flash memory, LPDDR5/LPDDR4X RAM memory
60Hz screen refresh rate sAmoled
20MP front
64MP+13+8/5+2 Sony IMX686 rear cam
#3X Optical Zoom/ #30X digital zoom
Dual OIS( not in standard version)
4700mAh battery+33W fast charge
#redmik30prozoom",,1,3
bootkidz,@bootkidz,2020-03-24T04:01:26.000Z,"How to set up Zoom video for dual monitors and screen sharing with PowerPoint https://pcworld.com/article/3532337/how-to-set-up-zoom-video-for-dual-monitors-and-screen-sharing-with-powerpoint.html… #covid19How to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,,
Ruhani Rabin,@ruhanirabin,2020-03-24T02:00:03.000Z,How to set up Zoom video for dual monitors and screen sharing with PowerPoint https://j.mp/2y6Qm9L,,,
Texan IT - Keeping IT Simple,@texan_it,2020-03-24T01:09:32.000Z,"How to set up Zoom video for dual monitors and screen sharing with PowerPoint: While Zoom publishes a straightforward document on how to use dual monitors with the Zoom desktop client, in our experience, the process can be more complex. Because some apps… http://dlvr.it/RSRDQx",,,
Okedi Peter John,@motionadven,2020-03-23T22:48:27.000Z,"How to set up Zoom video for dual monitors and screen sharing with PowerPointHow to set up Zoom video for dual monitors and screen sharing with PowerPoint - IT News UG
Some apps may not work the way you want them to by default.
itnewsug.com",,,
csunkin,@csunkin,2020-03-23T20:54:47.000Z,"PCWorld: How to set up Zoom video for dual monitors and screen sharing with PowerPoint.
https://pcworld.com/article/3532337/how-to-set-up-zoom-video-for-dual-monitors-and-screen-sharing-with-powerpoint.html…

via 
@GoogleNewsHow to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,,
"Furtado, O., JR",@ofurtado,2020-03-23T20:54:05.000Z,"PCWorld: How to set up Zoom video for dual monitors and screen sharing with PowerPoint.
https://pcworld.com/article/3532337/how-to-set-up-zoom-video-for-dual-monitors-and-screen-sharing-with-powerpoint.html…

via 
@GoogleNewsHow to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,,
Thomas Hammerlund,@thammerlund,2020-03-23T19:50:32.000Z,"How to set up Zoom video for dual monitors and screen sharing with PowerPoint | PCWorld https://pcworld.com/article/3532337/how-to-set-up-zoom-video-for-dual-monitors-and-screen-sharing-with-powerpoint.html… via 
@pcworldHow to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,,1
Dr. Bruce Ellis,@drbruceellis,2020-03-23T18:20:02.000Z,How to set up #Zoom video for dual monitors and screen sharing with #PowerPoint https://buff.ly/2JbL4vU #edTech #covid19 #teaching #remoteLearning,,,
Life On Coin,@lifeoncoin,2020-03-23T14:10:27.000Z,"""How to set up Zoom video for dual monitors and screen sharing with PowerPoint""How to set up Zoom video for dual monitors and screen sharing with PowerPoint
If you want to set up dual monitors for sharing presentations with Zoom video, your job isn't done just yet. Here are some further tweaks you need to do.
pcworld.com",,,
Jubayer alam Abhi,@Jubayeralamabhi,2020-03-23T13:14:10.000Z,"#RedmiK30Pro 
 Snapdragon 865 
 UFS 3.1 + LPDDR5 
 Dual OIS optical image stabilization 
 Samsung E3 AMOLED screen HDR10+, DC dimming 
 64MP, 3x optical / 30x digital zoom 
 Dual-mode #5G, Wi-Fi 6, 5G MultiLink  
 Super Bluetooth HiFi Audio, Hi-Res Audio 

RT ",,,1
Ben Gross,@bhgross144,2020-03-23T12:35:20.000Z,"Replying to 
@zoom_usHi 
@zoom_us
! Thanks for responding to my note. I reviewed this documentation & I'm still confused. 

I'm running Zoom 4.6.7 on a MacBook w/an i5 dual-core processor & Mac OS 10.14.6. That should be sufficient for an image-only Virtual Background w/o a green screen, correct?",1,,2
Shipra Nigam,@ShipraNigam6,2020-03-23T08:41:19.000Z,"#RENO3ProExpertoftheDay
#reno3pro 
I am eligible to win an OPPO Reno3 Pro. It comes with a 44MP Dual Punch hole camera, Digita Zoom 20X. 4 Rear cameras, 6.4"" sAmoled full screen display. Front night mode,108MP image. 8GB RAM, 128GB MEMORY. Price 30,000 Rs",2,,4
Shipra Nigam,@ShipraNigam6,2020-03-23T08:35:41.000Z,"#RENO3ProExpertoftheDay
#reno3pro 
I am eligible to win an OPPO Reno3 Pro. It comes with a 44MP Dual Punch hole camera, Digita Zoom 20X. 4 Rear cameras, 6.4"" sAmoled full screen display. Front night mode,108MP image. 8GB RAM, 128GB MEMORY. Price 30,000 Rs",,,3
Panda in the house,@jspreetworld,2020-03-23T07:29:01.000Z,"@stufflistings
  The highlights of the K30 Pro let us review it again:
Snapdragon 865 + UFS 3.1 + LPDDR5 powerful performance combination
dual OIS optical image stabilization, 3x optical / 30x digital zoom, Sony 64 million ultra-clear four-shot
Samsung E3 AMOLED screen HDR10",2,,7
Gaurav Nigam,@GauravN49814249,2020-03-23T05:33:26.000Z,"Replying to 
@amazonInQuiz#RENO3ProExpertoftheDay
#reno3pro 
I am eligible to win an 5G OPPO Reno3 Pro. It comes with a 44MP Dual Punch hole camera, Digita Zoom 20X. 4 Rear cameras, 6.4"" sAmoled full screen display. Front night mode,108MP inage. 8GB RAM, 128GB MEMORY. Price 30,000 Rs
ngaurav34@gmail.com",1,,3
Gaurav Nigam,@GauravN49814249,2020-03-23T05:27:46.000Z,"#RENO3ProExpertoftheDay 
I am eligible to win an 5G OPPO Reno3 Pro. It comes with a 44MP Dual Punch hole camera, Digita Zoom of 20X. 4 Rear cameras, 6.4"" sAmoled full screen display. Front night mode, 108MP inage. 8GB RAM, 128GB MEMORY. Price 30,000 Rs.aprox
ngaurav34@gmail.com",1,,3
Tonya Williams,@tonyahwilliams,2020-03-23T00:14:46.000Z,"Replying to 
@ESchmidtTeach
 @teachergoals
 and 3 othersWhat about dual screen ZOOM observation? ",,,5
Daniel Lagounov,@lagounov,2020-03-22T14:37:47.000Z,"My dream phone

2TB storage/ 128 gb ram
USB-C charger
Headphone jack
4k display
216 mp main camera
64 mp ultra wide camera
78 mp 200x zoom
20mp macro camera
Full screen display
Dual sim
Sapphire glass
Titanium edges
15,000 mh battery
200W fast charging
Reverse Wireless charging",2,,1
Andrea Kulkarni,@andca,2020-03-22T04:36:30.000Z,"Replying to 
@krwlos1“Image only without a physical green screen
Zoom Desktop Client for Mac,  4.6.0 (13614.1202) or higher
4th generation i7 quad-core or higher processor
6th generation i5 dual-core or higher processor
Note: 6th generation i5 dual-core processor, requires MacOS 10.14 or higher”",1,,2
theenescapade,@theenescapade,2020-03-21T03:49:56.000Z,"Replying to 
@durgajaiiiphone 11 :
6.1 inch lcd display screen, aluminum frame and dual camera. 
iphone 11 pro : 
5.8 inch oled display screen, stainless steel frame and triple camera.

Other than that their weight, size, camera’s zoom and battery life are different. Ofcoz price totally different. ",1,2,2
buyandfast,@NGamiotea,2020-03-20T15:18:34.000Z, SJCAM SJ8 Pro 4K wifi action Camera Waterproof Anti-Shake Dual Touch Screen 8*Digital Zoom Remote Control Sports DV sj yi 4k cam https://buyandfast.com/sjcam-sj8-pro-4k-wifi-action-camera-waterproof-anti-shake-dual-touch-screen-8digital-zoom-remote-control-sports-dv-sj-yi-4k-cam/… https://buyandfast.com Free Shipping,,,
Derek Holland,@derekholla,2020-03-15T20:24:46.000Z,"Replying to 
@stevemc11
 @Zoom
 and 
@Blackmagic_NewsEvercast can do dual video casting with zero lag over very little bandwidth. So it's like a Skype call + screen sharing. Really nice but last I checked a subscription was about $1000 a month. This guy has McGyvered a good version for $600.",2,,
INQS,@inqs909,2020-03-13T22:35:44.000Z,Dual Screen with Zoom!GIF,,,
Feryat Ben,@FeryatBen,2020-03-12T13:35:19.000Z,"Dual microphones with active noise cancellation, 2.5D curved glass screen, Corning Gorilla Glass 5, Oleophobic coating, 1500:1 contrast ratio, 450 cd/m2 typical brightness, 84% NTSC, OIS, EIS, 10x digital zoom, 2160p@30fps, 1080p@30/60/120fps, 720p@960fps, LTE B41, LTE CAT 12,",1,,
James Shelley,@ShelleyJHS,2020-03-12T13:31:10.000Z,"Replying to 
@fallon_donal*Zoom* is a tool widely used for what you want.
Alternatively, if a microsoft user, setup a Webex and send access code to your students.

I know the latter allows you to share your screen, and therfore slides.. and also allows others share theirs if you want dual interaction.",,,1
timM,@TVMehta,2020-03-09T20:34:34.000Z,"@zoom_us
 Is there anything in the works for a dual-screen sharing feature?",,,
chintan kundaliya,@chintankirti,2020-03-09T04:23:52.000Z,"Replying to 
@SamsungIndiaDear samsung thanks for making us full with 108mp gimmick..thanks 4 100x zoom gimmick..thanks for not dual pixel sensor on s20 ultra...only pdaf..thanks 4 auto focus jumping ...thanks 4 screen smoothing issues..
@SamsungIndia
 your s20 ultra have a ultra problems..pack your bags.",,,
Wafa Hakim Orman,@wafa1024,2020-03-08T00:11:17.000Z,The dual screen setup is a great idea if you can do it! I wish I'd thought of it in all the Zoom sessions I've done in the past. ,,,
buyandfast,@NGamiotea,2020-03-03T14:02:31.000Z, SJCAM SJ8 Pro 4K wifi action Camera Waterproof Anti-Shake Dual Touch Screen 8*Digital Zoom Remote Control Sports DV sj yi 4k cam https://buyandfast.com/sjcam-sj8-pro-4k-wifi-action-camera-waterproof-anti-shake-dual-touch-screen-8digital-zoom-remote-control-sports-dv-sj-yi-4k-cam/… https://buyandfast.com Free Shipping,,,
K truth,@Kamol14,2020-02-29T14:17:32.000Z,"Replying to 
@Iboy004R
 and 
@MaxWinebachno AF in selfie camera, no SD slot, no IP68, no optical 2x zoom, no dual aperture, no finger scanner in screen.",2,,5
stefano,@giocarmon,2020-02-27T09:32:09.000Z,"Macchina Fotografica Subacquea FHD 1080P Fotocamera Subacquea Digitale 24MP Fotocamera Subacquea Selfie Dual Screen 16X Zoom Digitale Fotocamera Digitale Subacquea per lo Snorkeling
di YinFun
5,0 su 5 stelle 37 voti
Prezzo: 79,99 € 
 https://amzn.to/2vj6d3G di 
@amazon",,,
Ivan,@1dukes,2020-02-26T15:49:17.000Z,"Replying to 
@HisandHersTesla
 and 
@MKBHDOnly for the people who like spending $1200 on phones. with 100x zoom, 8k video, and 120 Hz on UI elements only.

The dual screen case is still kinda weird.",1,,2
Peeyush Gupta,@Peeyush94607333,2020-02-24T16:57:11.000Z,"Replying to 
@realmemobiles6 features realme bringing with the #real5G 
1. Dual 5G
2. Snapdragon 865  processor
3. 65 SuperDart charge
4. 90Hz Super AMOLED full screen display
5.6 cameras with 20X Zoom 
6. Dual ultra wide selfie camera 
#realme50XPro
@realmemobiles
 
@MadhavSheth1
 
 @realmemobiles",,,
Abhishek Yadav,@imabhishek999,2020-02-24T12:30:11.000Z,"Replying to 
@realmemobilesthese 6 features realme are bringing with the #real5G
1. Dual 5G
2. Snapdragon 865  processor
3. 65 SuperDart charge
4. 90Hz Super AMOLED full screen display
5.6 cameras with 20X Zoom
6. Dual ultra wide selfie camera 
#realme50XPro
@realmemobiles
 
@MadhavSheth1
 
@realmemobiles",,,
BIVAS CHANDRA GIRI,@giri_bivas,2020-02-24T12:19:20.000Z,"Replying to 
@realmemobilesSnapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen        Display
#realmeX50Pro 
 #real5G 
@MadhavSheth1
 @realmemobiles
@DayalOjha4 
@OnlySiddhartha
 
@Oooranjan 
@sandeep_447",,,1
This is me!,@twitbird_33,2020-02-24T11:25:52.000Z,"Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5GQuote Tweet
realme
@realmemobiles
 · Feb 24
Tell us the number of 'India first' features we are bringing with the #real5G smartphone. RT & reply with the correct number using #realmeX50Pro to win big!
You will get:
- 2 #realmePowerBank after 1000 RTs
- 2 #realmeBudsWireless after 2000 RTs
- 1 #realmeX50Pro after 3000 RTs twitter.com/MadhavSheth1/s…",,,
Shayne Rana,@Stave_says,2020-02-24T09:44:04.000Z,"Hmmmm.... not too liking this set up at all!
Zoom - Good. 
8MP Ultrawide - meh
8MP - Macro - Good
B/W whatever - ???? WHY?
Dual Punch Hole - WHY? Less screen, more distraction!
#realmeX50ProQuote Tweet
realme
@realmemobiles
 · Feb 24
The #realmeX50Pro comes with a strong Quad Camera setup for full-focal-length coverage featuring:
- 64MP GW1 sensor
- 119°, 8MP Ultra Wide-angle & Macro Lens
- 12MP Telephoto Lens upto 20x Zoom
- B/W Artistic Portrait Lens

Watch the livestream here: http://bit.ly/2u5ueux",,1,1
AbdulRahim,@SAbdulrahim14,2020-02-24T09:43:13.000Z,"Replying to 
@MadhavSheth1#realmeX50Pro 
- Leap to the 5G era
- Dual Mode 5G
- 6 Cameras with 20X Zoom
- Snapdragon 865 5G
- Dual Ultra-Wide Selfie Camera
- 90Hz Super AMOLED Full screen
- 65W SuperDart Charge Technology
- LPDDR5
- UFSC3.0
And Many More
Totally a Good and Better Mobile.",,,1
Ravi Kumar,@ravikumarsays,2020-02-24T09:11:23.000Z,"Replying to 
@MadhavSheth1Total 6:

Powerful Snapdragon 865 Processor
65 SuperDart Charge
Dual 5G
Dual Ultra Wide Selfie Camera 
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5G",,,
Ashutosh Swain,@AskAshut0sh,2020-02-24T08:50:37.000Z,"Replying to 
@MadhavSheth1#realmeX50Pro With '6' India's First Features.

1) Snapdragon 865
2) 65W SuperDart Charge
3) Dual 5G
4) 6 Cameras with 20X Zoom
5) Dual Ultra-wide Selfie Camera
6) 90Hz Super AMOLED Full Screen Display. 
@realmemobiles",,,
BUNNY - ARYA !,@Ganesh__arya13,2020-02-24T08:43:06.000Z,"Replying to 
@realmemobilesSnapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5G",,,
vikas chouhan,@vikaschouhan169,2020-02-24T08:42:51.000Z,"Replying to 
@realmemobilesSnapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5G",,,
Tart gupt,@GuptTart,2020-02-24T08:42:41.000Z,"Replying to 
@realmemobiles(#snapdragon  865 processor
vooc 65w
Dual 5G
WiFi 6
LDDRP5 Ram
UFS 3.1 
6 cameras with 20× zoom
Dual ultra wide selfie camera
90Hz super Amoled display
realme ui
android v10(q)
6.57 inches screen
#realmeX50Pro5G",,,
Revanth Royal,@revanth_r0yal,2020-02-24T08:33:13.000Z,"Total 6

Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5G 
@realmemobiles
 
@realmecareINQuote Tweet
Madhav Faster7
@MadhavSheth1
 · Feb 24
Few hours before the launch of #realmeX50Pro!

So guys can you tell us how many 'India First' features are we bringing with the #real5G?

RT & reply with the correct number using #realmeX50Pro and stand a chance to win one.

Livestream begins at 2:30PM.
http://bit.ly/2u5ueux",,,
Revanth Royal,@revanth_r0yal,2020-02-24T08:32:20.000Z,"Total 6

Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5GQuote Tweet
realme
@realmemobiles
 · Feb 24
Tell us the number of 'India first' features we are bringing with the #real5G smartphone. RT & reply with the correct number using #realmeX50Pro to win big!
You will get:
- 2 #realmePowerBank after 1000 RTs
- 2 #realmeBudsWireless after 2000 RTs
- 1 #realmeX50Pro after 3000 RTs twitter.com/MadhavSheth1/s…",,,1
Avinash Nalluri,@avinashnalluri9,2020-02-24T08:15:30.000Z,"Replying to 
@MadhavSheth1It's the Day For 
@realmemobiles
  @FrancisRealme
 @nidhi_bhatia
 for launch of #realmeX50Pro With '6' India's First Features.

1) Snapdragon 865
2) 65W SuperDart Charge
3) Dual 5G
4) 6 Cameras with 20X Zoom
5) Dual Ultra-wide Selfie Camera
6) 90Hz Super AMOLED Full Screen Display.",,,
Anirudh,@Titu2015Ani,2020-02-24T08:15:01.000Z,"Replying to 
@MadhavSheth1SD 865 
UFS 3.0
LPDDR5 RAM
WIFI 6
65W DART CHARGER
DUAL BAND 5G
DUAL ULTRA WIDE SELFIE CAMERA
6 CAMERAS
20X ZOOM
90Hz  SUPER AMOLED SCREEN",,,
Sriram Senthilkumar,@_sriram_s,2020-02-24T08:07:00.000Z,"Replying to 
@realmemobilesThat's 6
1) Snapdragon 865 Processor.
2) 65 SuperDart Charge.
3) Dual 5G.
4) Dual Ultra Wide Selfie Camera.
5) 6 camera with 20X Zoom
6) 90Hz Super AMOLED Full-screen Display
#real5G",,,
CnuM,@UrcnU,2020-02-24T07:57:39.000Z,"@MadhavSheth1
Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5G",,,
Rishabh Dugad,@RISHABHDUGAD1,2020-02-24T07:50:33.000Z,"Replying to 
@MadhavSheth11) Snapdragon 865 Processor.
2) 65W SuperDart Charge.
3) Dual 5G.
4) Front 32-megapixel snapper Camera With 8 megapixel Wide.
5) 6camera with 20X Zoom.
6) 90Hz Super AMOLED Full screen Display.
#realmeX50Pro 
#real5G",,,
Krupasindhu Jena,@KrupasindhuJen4,2020-02-24T07:42:11.000Z,"Replying to 
@realmemobiles6 features #realmeX50Pro 
#real5G

6 camera with 20X Zoom
90Hz Super AMOLED full screen display
Snapdragon 865 Processor.
65 Superdart charge.
Dual 5G.
Dual Ultra Wide Selfie Camera",,,
Tushar Kant Naikॐ♫$,@TusharKant_Naik,2020-02-24T07:16:47.000Z,"Replying to 
@realmemobilesThe number of India First Features Are

1- Latest Snapdragon 865 Processor 

2- 65 W SuperDart Charging

3- Dual 5G Support.

4- Dual Ultra Wide Selfie Camera

5- 64+12+8+2 MP camera with 20X Zoom feature.

6- 90Hz Super AMOLED Full screen Display.
#realmeX50Pro 
#real5G",,,
Mohit,@Mohit94666969,2020-02-24T07:09:50.000Z,"Replying to 
@MadhavSheth11. First Snapdragon 865 5G processor.
2. Dual Mode 5G.
3. 6 cameras with 20x Zoom.
4. Dual ultra wide selfie camera.
5. 65W SuperDart charger.
6. 90Hz Super Amoled Full-screen.
#realmeX50Pro5G",,,1
Pankaj Yado,@pankaj_yado,2020-02-24T06:55:53.000Z,"6 'India first' features realme are bringing with the #real5G 
1. Dual 5G
2. Snapdragon 865 processer 
3. 65 SuperDart charge
4. 6 cameras with 20X Zoom
5.90Hz super AMOLED full screen display
6. Dual ultra wide selfie camera 
#realmeX50Pro5G 
@realmemobiles
 
@MadhavSheth1Quote Tweet
realme
@realmemobiles
 · Feb 24
Tell us the number of 'India first' features we are bringing with the #real5G smartphone. RT & reply with the correct number using #realmeX50Pro to win big!
You will get:
- 2 #realmePowerBank after 1000 RTs
- 2 #realmeBudsWireless after 2000 RTs
- 1 #realmeX50Pro after 3000 RTs twitter.com/MadhavSheth1/s…",,1,
Amy ♔↻,@marantzamx,2020-02-24T06:53:03.000Z,"Replying to 
@realmemobilesFeatures are : 

Snapdragon 865 Processor.
90Hz Super AMOLED Full screen Display
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
65 SuperDart Charge.
#realmeX50Pro 
#real5G",,,1
Sandeep,@sandeep_447,2020-02-24T06:52:39.000Z,"Replying to 
@realmemobilesSnapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display
#realmeX50Pro  #real5G 
@MadhavSheth1
 @realmemobiles",,,
Mersal Remo ツ,@MersalRemo,2020-02-24T06:50:41.000Z,"Replying to 
@realmemobilesTotal 6:

Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5G ",,,
Shubham Kukreja,@KukrejaShubhs,2020-02-24T06:48:20.000Z,"Replying to 
@realmemobilesFeatures 
• Latest Snapdragon 865 Processor 

• 65 W SuperDart Charging

• Dual 5G Support.

• Dual Ultra Wide Selfie Camera

• 6 camera with 20X Zoom feature.

•90Hz Super AMOLED Full screen Display.

#realmeX50Pro 
#real5G
@realmemobiles
 @MadhavSheth1
 ",,,
Rishabh,@rishuuyogita,2020-02-24T06:47:17.000Z,"Total 6

3 features are new in industry
Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display 
@MadhavSheth1
@realmecareIN
 @realmemobiles
 @heysiddi
 @nidhi_bhatia
 #realmeX50Pro 
#real5GQuote Tweet
realme
@realmemobiles
 · Feb 24
Tell us the number of 'India first' features we are bringing with the #real5G smartphone. RT & reply with the correct number using #realmeX50Pro to win big!
You will get:
- 2 #realmePowerBank after 1000 RTs
- 2 ",,,
Rishabh,@rishuuyogita,2020-02-24T06:43:32.000Z,"Total 6

But  3 is new in industry

Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5GQuote Tweet
realme
@realmemobiles
 · Feb 24
Tell us the number of 'India first' features we are bringing with the #real5G smartphone. RT & reply with the correct number using #realmeX50Pro to win big!
You will get:
- 2 #realmePowerBank after 1000 RTs
- 2 ",,,
Vikas Mandad,@mandad_vikas,2020-02-24T06:40:13.000Z,"Replying to 
@realmemobilesTotal 6

Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display
#realmeX50Pro5G 
#realmeX50Pro 
#real5G",,,
Funnily Serious,@notionalvieww,2020-02-24T06:39:48.000Z,"Replying to 
@realmemobiles6 features #realmeX50Pro 
#real5G

6 camera with 20X Zoom
90Hz Super AMOLED full screen display
Snapdragon 865 Processor.
65 Superdart charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .",,,1
Kushal Shah,@kbshah7111,2020-02-24T06:39:25.000Z,"Total 6

Snapdragon 865 Processor.
65 SuperDart Charge.
Dual 5G.
Dual Ultra Wide Selfie Camera .
6 camera with 20X Zoom
90Hz Super AMOLED Full screen Display

#realmeX50Pro 
#real5G 
@MadhavSheth1
@realmemobilesQuote Tweet
realme
@realmemobiles
 · Feb 24
Tell us the number of 'India first' features we are bringing with the #real5G smartphone. RT & reply with the correct number using #realmeX50Pro to win big!
You will get:
- 2 #realmePowerBank after 1000 RTs
- 2 #realmeBudsWireless after 2000 RTs
- 1 #realmeX50Pro after 3000 RTs twitter.com/MadhavSheth1/s…",,,
Abhishek Yadav,@yabhishekhd,2020-02-22T02:21:50.000Z,"Realme X50 Pro 5G Launch Date 24,Feb & Time 2:30PM.
Specifications
Dual Ultra-wide Selfie Camera
Dual Mode 5G 
6 Cameras with 20X Zoom
Snapdragon 865 Processor
65W Superdart Charge
90Hz Super Amoled Full-screen Display
Colours- Green, Red
USB Type C
Quad Rear CameraSudhanshu and 8 others",3,6,13
buyandfast,@NGamiotea,2020-02-21T21:17:46.000Z, SJCAM SJ8 Pro yi 4K 60fps action Camera Waterproof Anti-Shake Dual Touch Screen 8*Digital Zoom WiFi Remote Control Sports DV cam https://buyandfast.com/sjcam-sj8-pro-yi-4k-60fps-action-camera-waterproof-anti-shake-dual-touch-screen-8digital-zoom-wifi-remote-control-sports-dv-cam/… https://buyandfast.com Free Shipping,,,
Skope IT,@Skope_IT,2020-02-12T00:32:55.000Z,"Need a new phone? Samsung has made major improvements to their latest lineup with 100x zoom, 108MP photos, 8K video,120Hz screen refresh rate, 5G network connectivity, dual sim support and a significantly larger battery.Samsung intros three-model Galaxy S20 lineup
Bigger screens, 5G, and substantially bigger batteries..
crn.com.au",,,
Chris Moore,@_Chris_Moore,2020-02-10T20:37:42.000Z,"Excited abt 
@ConnectPSN
 Innovation Show in #YOW Feb 25 - on a event prep call with 
@Andyjtoday
 and team - loving the 
@zoom_us
 platform with dual screen",,2,4
Honest Person,@AVerybadLiar,2020-02-09T15:24:41.000Z,"Replying to 
@mischief_Ace
 @__Omar59
 and 3 othersEverything mentioned can be considered a spec.

Great cameras:
108MP main camera with 2.4μm pixel size, 48MP preiscope with 100x digital zoom.

Beautiful screen:
AMOLED display with 120Hz refresh rate.

Great speakers:
Dual Dolby Atmos speakers.",1,1,1
buyandfast,@NGamiotea,2020-02-03T05:45:24.000Z, SJCAM SJ8 Pro yi 4K 60fps action Camera Waterproof Anti-Shake Dual Touch Screen 8*Digital Zoom WiFi Remote Control Sports DV cam https://buyandfast.com/sjcam-sj8-pro-yi-4k-60fps-action-camera-waterproof-anti-shake-dual-touch-screen-8digital-zoom-wifi-remote-control-sports-dv-cam/… https://buyandfast.com Free Shipping,,,
Haury,@HauryOrg,2020-01-26T20:35:23.000Z,Waterproof Camera Full HD 1080P Underwater Camera 24 MP Video Recorder Selfie Dual Screen DV Recording 16X Digital Zoom Waterproof Digital Camera for Snorkeling https://haury.org/waterproof-camera-full-hd-1080p-underwater-camera-24-mp-video-recorder-selfie-dual-screen-dv-recording-16x-digital-zoom-waterproof-digital-camera-for-snorkeling/…,,,
Host Android,@HostAndroid,2020-01-24T22:32:04.000Z,Waterproof Camera Full HD 1080P Underwater Camera 24 MP Video Recorder Selfie Dual Screen DV Recording 16X Digital Zoom Waterproof Digital Camera for Snorkeling https://hostandroid.com/waterproof-camera-full-hd-1080p-underwater-camera-24-mp-video-recorder-selfie-dual-screen-dv-recording-16x-digital-zoom-waterproof-digital-camera-for-snorkeling/…,,,
